author,datetime,upvotes,downvotes,forwards,source,headline,original_link
hitosh723 (楓葉狂刀),Thu Jun  1 10:25:28 2017,2,0,5,liberty times,[新聞] 今北高溫南有雨 吳德榮：明後天全台防雷,
KingMaggot (11),Thu Jun  1 10:31:36 2017,3,28,9,,[新聞] 堅持九二共識 陸不因台民意放水,http://www.chinatimes.com/newspapers/20170601000719-260301
Aqqqa (Aqqqa),Thu Jun  1 10:32:07 2017,16,11,28,,[新聞] 柯P評扁：對民主有功但治家有錯 功過相抵,https://goo.gl/pGbVeQ
idwang (..),Thu Jun  1 10:34:38 2017,21,12,25,storm media,[新聞]風評：兆豐案簽結「查無事證 」，那些興,
falomu (法蘿暮),Thu Jun  1 10:34:46 2017,34,38,39,,[新聞] 工研院前主任杜紫宸宣布參選總統：與中國談判成立邦聯,http://www.peoplenews.tw/news/f5d66f1b-002a-4b5a-9322-de78a5a0ae0d
kevin605060 (提摩他老爸),Thu Jun  1 10:35:11 2017,0,1,5,liberty times,[新聞]搶攻行動支付市場 橘子支攜手HANGTEN推優,
TWOOOOOOOOOO (給妳2億),Thu Jun  1 10:38:35 2017,28,8,27,,[新聞] 嘆大學生28K 徐世榮：政府帶頭 有錢人在,https://udn.com/news/story/9141/2496463?from=udn-ch1_breaknews-1-0-news
PttCastro (卡斯楚),Thu Jun  1 10:41:33 2017,10,0,9,liberty times,[新聞] 川普若退氣候協定 特斯拉CEO放話：將辭政,
jenlei (大帥哥),Thu Jun  1 10:43:52 2017,11,17,24,,[新聞] 特赦陳水扁？柯文哲:大陸都可以解決毛澤,http://www.storm.mg/article/275114
tw689 (台灣689),Thu Jun  1 10:48:09 2017,14,55,23,china times,[新聞] 阿聯酋航空事件 陸媒：台灣炸鍋了,
belmontc (あなたのハートに天誅♥),Thu Jun  1 10:49:30 2017,23,0,17,,[新聞] 備受爭議的中國網路安全法將於6月1日施行,http://www.ithome.com.tw/news/114525
